level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1440	3200	-1	
2	1	1	0	0	0	49	51	1335	3024	-1	
3	1	1	1	0	0	70	51	1302	462	-1	
4	1	1	1	1	0	108	51	1208	51	-1	
5	1	1	1	1	1	108	61	123	36	90.936012	15:10
5	1	1	1	1	2	270	66	22	22	84.612457	@
5	1	1	1	1	3	337	66	17	20	89.432266	#
5	1	1	1	1	4	903	53	51	47	56.549152	en
5	1	1	1	1	5	968	51	348	51	34.142883	Bal
5	1	1	1	1	6	1204	47	35	67	78.095863	全
5	1	1	1	1	7	1267	47	51	67	65.121185	EE
4	1	1	1	2	0	70	221	1302	71	-1	
5	1	1	1	2	1	70	228	56	56	92.200142	所
5	1	1	1	2	2	198	224	138	68	9.234459	“编辑
5	1	1	1	2	3	1310	221	62	70	91.341469	<
4	1	1	1	3	0	179	458	1102	55	-1	
5	1	1	1	3	1	179	458	498	52	92.418526	昨天
5	1	1	1	3	2	317	454	51	67	90.486488	玩
5	1	1	1	3	3	367	454	47	67	93.133118	了
5	1	1	1	3	4	413	454	72	67	41.019382	玩
5	1	1	1	3	5	484	454	106	67	96.769783	社交
5	1	1	1	3	6	589	454	110	67	96.232262	软件
5	1	1	1	3	7	704	460	107	53	87.859383	(UKI
5	1	1	1	3	8	849	459	61	50	91.880989	类
5	1	1	1	3	9	912	463	32	45	87.244446	似
5	1	1	1	3	10	970	462	64	47	92.860931	于
5	1	1	1	3	11	1061	454	73	67	43.496323	陌生
5	1	1	1	3	12	1133	460	35	48	96.667961	人
5	1	1	1	3	13	1188	460	93	50	89.800339	聊天
3	1	1	2	0	0	49	563	1335	2512	-1	
4	1	1	2	1	0	181	563	176	55	-1	
5	1	1	2	1	1	181	563	176	55	90.095680	的
5	1	1	2	1	2	258	557	54	72	91.682220	那
5	1	1	2	1	3	312	557	32	72	92.713348	种
5	1	1	2	1	4	343	557	19	72	92.828316	)
4	1	1	2	2	0	179	773	1114	52	-1	
5	1	1	2	2	1	179	773	217	51	96.687370	我
5	1	1	2	2	2	262	769	53	70	93.277039	发
5	1	1	2	2	3	315	773	57	51	93.170036	现
5	1	1	2	2	4	409	773	35	51	96.110970	我
5	1	1	2	2	5	428	769	104	70	96.046776	自己
5	1	1	2	2	6	538	773	62	52	96.755432	很
5	1	1	2	2	7	625	773	67	52	92.571617	奇怪
5	1	1	2	2	8	700	769	53	70	92.312157	，
5	1	1	2	2	9	752	774	64	50	89.792580	我
5	1	1	2	2	10	818	773	57	51	93.241493	找
5	1	1	2	2	11	905	778	19	44	91.735802	不
5	1	1	2	2	12	936	773	40	52	96.971146	到
5	1	1	2	2	13	978	775	91	49	95.614471	话题
5	1	1	2	2	14	1102	777	21	45	96.962051	以
5	1	1	2	2	15	1150	775	54	49	96.909439	及
5	1	1	2	2	16	1219	778	74	47	94.340736	聊天
4	1	1	2	3	0	181	878	1127	52	-1	
5	1	1	2	3	1	181	878	175	52	70.549057	NER,
5	1	1	2	3	2	424	878	248	52	0.000000	Stem
5	1	1	2	3	3	752	879	219	51	0.000000	BMA,
5	1	1	2	3	4	1052	879	36	49	94.169212	这
5	1	1	2	3	5	1108	879	66	50	95.494804	是
5	1	1	2	3	6	1204	880	20	49	96.848686	为
5	1	1	2	3	7	1222	879	86	50	96.843117	什么
4	1	1	2	4	0	179	987	80	47	-1	
5	1	1	2	4	1	179	987	80	47	90.745903	呢
5	1	1	2	4	2	236	983	25	55	91.079750	?
4	1	1	2	5	0	180	1092	1093	52	-1	
5	1	1	2	5	1	180	1092	1093	52	89.998779	https://github.com/PowerShell/PowerShell
4	1	1	2	6	0	175	1197	1107	45	-1	
5	1	1	2	6	1	175	1197	1107	45	66.097366	/releases/download/v7.5.4/PowerShell-7.5
4	1	1	2	7	0	182	1262	386	96	-1	
5	1	1	2	7	1	182	1304	151	41	31.467140	ein
5	1	1	2	7	2	359	1262	209	96	0.193542	seksi
4	1	1	2	8	0	117	1854	517	67	-1	
5	1	1	2	8	1	117	1863	50	50	58.610882	时
5	1	1	2	8	2	276	1854	67	67	42.865295	Pe
5	1	1	2	8	3	395	1865	239	45	16.607269	ARMA
4	1	1	2	9	0	49	2190	1317	78	-1	
5	1	1	2	9	1	49	2194	143	69	78.262039	FR
5	1	1	2	9	2	276	2193	147	70	96.229485	这
5	1	1	2	9	3	387	2186	72	96	94.942520	个
5	1	1	2	9	4	507	2194	146	68	91.986061	安装
5	1	1	2	9	5	740	2190	80	78	88.226730	图
5	1	1	2	9	6	909	2195	270	67	71.616104	RE.
5	1	1	2	9	7	1320	2209	46	45	48.814468	*X
4	1	1	2	10	0	51	2375	1333	65	-1	
5	1	1	2	10	1	51	2375	330	65	22.690437	QwWwWE
5	1	1	2	10	2	484	2377	470	58	11.902893	RATYU
5	1	1	2	10	3	1072	2376	174	59	61.025116	IO
5	1	1	2	10	4	1342	2377	42	58	89.830750	P
4	1	1	2	11	0	122	2588	1187	58	-1	
5	1	1	2	11	1	122	2588	474	57	86.593689	ASDF
5	1	1	2	11	2	692	2588	192	58	61.489635	CH
5	1	1	2	11	3	986	2588	33	58	85.218803	J
5	1	1	2	11	4	1129	2588	43	57	25.950478	KK
5	1	1	2	11	5	1275	2588	34	57	87.811806	L
4	1	1	2	12	0	69	2793	1302	63	-1	
5	1	1	2	12	1	69	2793	67	58	72.856682	mm
5	1	1	2	12	2	270	2798	611	58	23.930008	ZXCcCVYVB
5	1	1	2	12	3	981	2798	44	57	35.000122	AN
5	1	1	2	12	4	1119	2798	54	57	66.702194	M
5	1	1	2	12	5	1295	2793	76	56	33.384544	Za
4	1	1	2	13	0	67	2990	1269	85	-1	
5	1	1	2	13	1	67	3008	92	45	93.067276	123
5	1	1	2	13	2	429	3052	12	23	67.254272	，
5	1	1	2	13	3	1006	2990	43	42	73.098877	双
5	1	1	2	13	4	1223	3006	113	52	96.529572	换行
